Pays;Année;Nombre de français
GEORGIE;2012;278
KENYA;2010;1153
SALVADOR;2018;557
SLOVAQUIE;2013;830
CANADA;2009;69868
ESTONIE;2002;66
IRAK;2006;54
ARABIE SAOUDITE;2015;5893
RWANDA;2018;356
ARGENTINE;2007;14283
HONGRIE;2009;2295
SAINT-SIEGE;2015;0
COMORES;2012;2137
PAKISTAN;2012;552
SALVADOR;2007;650
JAMAIQUE;2015;146
LIBAN;2009;18807
CONGO;2006;3771
CROATIE;2013;1006
GRECE;2010;11355
BIRMANIE;2017;813
BENIN;2010;3584
GABON;2007;9647
NIGER;2013;1648
JAPON;2003;6436
MADAGASCAR;2012;18814
ROYAUME-UNI;2005;102470
TCHEQUE (REP.);2003;1859
EGYPTE;2011;6483
MADAGASCAR;2005;19602
SUISSE;2007;132784
TCHEQUE (REP.);2004;2184
ESTONIE;2018;310
VIET-NAM;2010;5672
BENIN;2012;3574
EMIRATS ARABES UNIS;2002;5131
JAPON;2007;7735
POLOGNE;2006;5152
RUSSIE;2017;5264
BIELORUSSIE;2006;69
GEORGIE;2002;101
ISRAEL;2009;57941
PANAMA;2007;668
ALBANIE;2017;185
SAINT-SIEGE;2016;0
MONGOLIE;2015;129
BELGIQUE;2002;76953
GUINEE-BISSAO;2008;125
JAPON;2006;7894
JERUSALEM;2001;8278
SENEGAL;2006;17834
NIGER;2002;1442
OUGANDA;2004;216
SUEDE;2013;6785
BIRMANIE;2013;486
GHANA;2010;931
THAILANDE;2017;12974
BANGLADESH;2011;235
CAMBODGE;2001;1689
COLOMBIE;2009;3890
ISRAEL;2013;51714
SYRIE;2012;1893
GRECE;2014;10541
MACEDOINE;2015;241
GUINEE;2005;2559
LAOS;2001;882
MONGOLIE;2009;89
SURINAME;2006;174
TUNISIE;2011;21552
ARMENIE;2013;554
CENTRAFRIQUE (Rép.);2012;1260
LAOS;2017;2137
QATAR;2005;1046
COREE DU SUD;2008;1715
MOZAMBIQUE;2001;349
SAINTE-LUCIE;2003;580
TRINITE ET TOBAGO;2008;621
JAMAIQUE;2013;194
COTE D'IVOIRE;2002;16120
CROATIE;2001;563
MALAISIE;2011;2592
MOLDAVIE;2012;99
SERBIE;2007;1207
MALI;2009;4331
NICARAGUA;2001;404
RUSSIE;2002;2700
THAILANDE;2008;8230
URUGUAY;2018;2931
ANGOLA;2004;1196
EQUATEUR;2002;1268
ISLANDE;2002;196
OMAN;2018;792
BELGIQUE;2011;109426
OUZBEKISTAN;2006;141
ISLANDE;2017;589
NORVEGE;2004;3476
BOLIVIE;2003;736
PAPOUASIE-NLE-GUINEE;2001;43
SINGAPOUR;2004;3635
SOUDAN;2013;209
CONGO;2011;5083
LESOTHO;2018;0
MOZAMBIQUE;2005;371
EMIRATS ARABES UNIS;2007;8497
AUSTRALIE;2004;13503
RWANDA;2004;267
SOUDAN;2006;341
CHINE;2018;29391
GUATEMALA;2014;824
